sepal_length,sepal_width,petal_length,petal_width,target,cat_cat1,cat_cat2,cat_cat3,cat_cat4,cat_cat5,sepal_area
6.4,3.2,5.3,2.3,2,False,False,False,True,False,20.480000000000004
6.5,3.0,5.5,1.8,2,False,False,False,False,True,19.5
7.7,3.8,6.7,2.2,2,False,False,False,True,False,29.259999999999998
7.7,2.6,6.9,2.3,2,False,False,False,True,False,20.02
6.0,2.2,5.0,1.5,2,False,False,False,True,False,13.200000000000001
6.9,3.2,5.7,2.3,2,False,False,False,True,False,22.080000000000002
5.6,2.8,4.9,2.0,2,False,True,False,False,False,15.679999999999998
7.7,2.8,6.7,2.0,2,False,False,False,True,False,21.56
6.3,2.7,4.9,1.8,2,False,False,False,True,False,17.01
6.7,3.3,5.7,2.1,2,False,False,False,False,True,22.11
7.2,3.2,6.0,1.8,2,False,False,False,True,False,23.040000000000003
6.2,2.8,4.8,1.8,2,False,False,False,False,True,17.36
6.1,3.0,4.9,1.8,2,False,False,False,True,False,18.299999999999997
6.4,2.8,5.6,2.1,2,False,True,False,False,False,17.919999999999998
7.2,3.0,5.8,1.6,2,False,False,False,True,False,21.6
7.4,2.8,6.1,1.9,2,False,True,False,False,False,20.72
7.9,3.8,6.4,2.0,2,False,False,False,True,False,30.02
6.4,2.8,5.6,2.2,2,False,False,False,True,False,17.919999999999998
6.3,2.8,5.1,1.5,2,False,False,False,True,False,17.639999999999997
6.1,2.6,5.6,1.4,2,False,False,False,True,False,15.86
7.7,3.0,6.1,2.3,2,False,False,False,False,True,23.1
6.3,3.4,5.6,2.4,2,False,False,False,True,False,21.419999999999998
6.4,3.1,5.5,1.8,2,False,False,False,False,True,19.840000000000003
6.0,3.0,4.8,1.8,2,False,False,False,True,False,18.0
6.9,3.1,5.4,2.1,2,False,False,False,True,False,21.39
6.7,3.1,5.6,2.4,2,False,False,False,False,True,20.77
6.9,3.1,5.1,2.3,2,False,False,False,True,False,21.39
5.8,2.7,5.1,1.9,2,False,False,False,False,True,15.66
6.8,3.2,5.9,2.3,2,False,False,False,False,True,21.76
6.7,3.3,5.7,2.5,2,False,False,False,False,True,22.11
6.7,3.0,5.2,2.3,2,False,False,False,True,False,20.1
6.3,2.5,5.0,1.9,2,False,False,False,True,False,15.75
6.5,3.0,5.2,2.0,2,False,False,False,False,True,19.5
6.2,3.4,5.4,2.3,2,False,False,False,True,False,21.08
5.9,3.0,5.1,1.8,2,False,False,False,True,False,17.700000000000003
